relationship,datatype,X,PARA,boundary
2nd degree kinship,"""42STR CE""",4.11338469,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.558014825,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-0.422496395,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.20630521,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.184504296,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.585891759,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.608840385,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.275164123,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.007221785,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.550552327,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.019846054,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.500866612,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",8.963654702,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.371131632,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.574379569,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.20427411,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.270973349,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.78214457,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.09666964,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.659075263,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.958945359,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.138341183,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.882969523,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.740933227,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.333750266,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.246753209,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.926879435,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.078308435,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.001902185,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.876754857,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.20924988,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.298593971,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.348763342,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.370888038,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.480572895,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.768824127,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.072225806,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.12969008,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.410978829,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.685557817,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.729223438,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.536068542,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.213945549,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.79362292,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.119890092,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.907034267,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.387887298,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.479896083,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-1.568260709,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.138045003,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.402851258,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.798701601,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.217754216,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",7.511399166,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.701120368,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",7.507057193,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.774701444,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.390065711,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.80921615,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.289711182,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.208584171,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.372851746,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.182831421,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.262569868,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.109391507,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.897409016,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.420330883,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.946328567,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.690534037,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.823118004,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.779665641,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.1314735,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.108232754,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.487169982,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.233938537,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.400193208,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.496824444,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.329123529,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.024529883,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.827516622,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.414384759,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.139084103,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.983611445,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.021896424,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.33282671,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.801404939,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.344891637,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.64214637,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.346001148,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-0.806022798,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.026130819,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.199021757,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.974966673,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.136414791,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.019044631,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.322565599,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-0.951661365,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.962053064,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.357711224,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.032667514,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.436412899,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",7.318069559,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.21717326,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.478699572,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.872264777,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.952359814,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.044188717,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.052002675,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",6.348688419,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",1.717037717,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.073792127,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",0.186728765,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-1.014695253,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",-1.648786598,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.36211651,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",2.250100398,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.601570204,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.362815539,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.557486009,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.494410758,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.845237237,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.24599926,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.623234348,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",4.868110017,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",5.036665965,Log[10]~CLR,-7
2nd degree kinship,"""42STR CE""",3.652106313,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.517015503,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.629052301,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.637774172,Log[10]~CLR,-7
unrelated,"""42STR CE""",-0.373147046,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.46838475,Log[10]~CLR,-7
unrelated,"""42STR CE""",-1.798145942,Log[10]~CLR,-7
unrelated,"""42STR CE""",-3.678988996,Log[10]~CLR,-7
unrelated,"""42STR CE""",-3.149254384,Log[10]~CLR,-7
unrelated,"""42STR CE""",-1.617196077,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.596249269,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.629052301,Log[10]~CLR,-7
unrelated,"""42STR CE""",-0.227372938,Log[10]~CLR,-7
unrelated,"""42STR CE""",-3.709859856,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.97810046,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.972468623,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.732278173,Log[10]~CLR,-7
unrelated,"""42STR CE""",-4.438684701,Log[10]~CLR,-7
unrelated,"""42STR CE""",-3.220559803,Log[10]~CLR,-7
unrelated,"""42STR CE""",-1.826420091,Log[10]~CLR,-7
unrelated,"""42STR CE""",-2.637774172,Log[10]~CLR,-7
unrelated,"""42STR CE""",-0.227372938,Log[10]~CLR,-7
unrelated,"""42STR CE""",-1.782070762,Log[10]~CLR,-7
unrelated,"""42STR CE""",-3.45987124,Log[10]~CLR,-7
unrelated,"""42STR CE""",-0.702553748,Log[10]~CLR,-7
